xs,acc_av,acc_std,size_av,size_std,time_av,time_std
6,100,0,6,0,368,6
22,100,0,22,0,600,0
36,100,0,29,0,600,0
50,100,0,36,0,600,0
64,100,0,64,0,600,0
78,100,0,64,0,600,0
92,100,0,86,1,600,0
106,100,0,64,0,600,0
120,100,0,106,0,600,0
134,100,0,113,0,600,0
148,100,0,92,0,600,0
162,100,0,99,0,600,0
