xs,acc_av,acc_std,size_av,size_std,time_av,time_std
7,49,2,147,5,600,0
19,49,2,157,7,600,0
31,50,1,167,4,600,0
43,47,2,173,4,600,0
55,50,1,180,7,600,0
67,47,1,205,6,600,0
79,48,1,207,9,600,0
91,48,1,245,2,600,0
