xs,acc_av,acc_std,size_av,size_std,time_av,time_std
6,50,0,0,0,5,0
22,50,0,0,0,5,0
36,50,0,0,0,5,0
50,50,0,0,0,5,0
64,50,0,0,0,5,0
78,50,0,0,0,5,0
92,50,0,0,0,5,0
106,50,0,0,0,5,0
120,50,0,0,0,5,0
134,50,0,0,0,5,0
148,50,0,0,0,5,0
162,50,0,0,0,5,0
