xs,acc_av,acc_std,size_av,size_std,time_av,time_std
6,65,1,24.0,3.0,600,0
22,50,0,26.0,4.0,600,0
36,50,0,28.0,5.0,600,0
50,50,0,,,600,0
64,50,0,21.0,6.0,600,0
78,50,0,,,600,0
92,50,0,18.0,3.0,600,0
106,50,0,16.0,4.0,600,0
120,50,0,21.0,5.0,600,0
134,50,0,18.0,2.0,600,0
148,50,0,,,600,0
162,50,0,13.0,3.0,600,0
