xs,acc_av,acc_std,size_av,size_std,time_av,time_std
7,78,12,1,0,412,79
19,50,0,0,0,600,0
31,50,0,0,0,600,0
43,50,0,0,0,600,0
55,50,1,1,0,570,12
67,50,0,0,0,593,7
79,51,1,0,0,590,10
91,50,0,0,0,600,0
